series_id,sequence_id,building,key_type,location
GMB-236,1,Femoyer Hall,door,218
GMB-236,2,Femoyer Hall,door,218
10B-6,1,Femoyer Hall,door,312
10B-6,2,Femoyer Hall,door,312
10B-6,3,Femoyer Hall,door,312
10B-5,1,Femoyer Hall,door,326
10B-5,2,Femoyer Hall,door,326
10B-5,3,Femoyer Hall,door,326
81G-39,1,Femoyer Hall,door,413
81G-39,2,Femoyer Hall,door,413
81G-39,3,Femoyer Hall,door,413
535,1,Goodwin Hall,display ,atrium
CLGA-41,13,Goodwin Hall,door,classrooms
CLGA-41,14,Goodwin Hall,door,classrooms
MX8,11,Goodwin Hall ,door,main
38-1,1,North End 460 Suite 306,door,main
38-1,2,North End 460 Suite 306,door,main
38-1,3,North End 460 Suite 306,door,main
38-1,4,North End 460 Suite 306,door,main
38-1,5,North End 460 Suite 306,door,main
38-1,6,North End 460 Suite 306,door,main
38-1,7,North End 460 Suite 306,door,main
38-1,8,North End 460 Suite 306,door,main
38-1,9,North End 460 Suite 306,door,main
38-1,10,North End 460 Suite 306,door,main
38-1,11,North End 460 Suite 306,door,main
38-1,12,North End 460 Suite 306,door,main
38-1,13,North End 460 Suite 306,door,main
38-1,14,North End 460 Suite 306,door,main
38-1,14,North End 460 Suite 306,door,main
38-1,15,North End 460 Suite 306,door,main
38-1,16,North End 460 Suite 306,door,main
38-1,17,North End 460 Suite 306,door,main
38-1,18,North End 460 Suite 306,door,main
38,1,North End 460 Suite 306,door,master
38,2,North End 460 Suite 306,door,master
38,3,North End 460 Suite 306,door,master
38,4,North End 460 Suite 306,door,master
38-9,1,North End 460 Suite 306,door,2902
38-2,1,North End 460 Suite 306,door,2904
38-3,1,North End 460 Suite 306,door,2905
38-4,1,North End 460 Suite 306,door,2906
38-5,1,North End 460 Suite 306,door,2907
38-8,1,North End 460 Suite 306,door,2912
GMB-108,3,Randolph Hall,door,2
GMB-108,4,Randolph Hall,door,2
GMB-108,5,Randolph Hall,door,2
BL 13,1,Torgersen Hall,file_cabinet,3029/keycab
BL 13,2,Torgersen Hall,file_cabinet,3029/keycab
UM318,1,Torgersen Hall,file_cabinet,3046
UM318,2,Torgersen Hall,file_cabinet,3046
HON117,1,Torgersen Hall,file_cabinet,2160E
HON117,2,Torgersen Hall,file_cabinet,2160E
MX9-1,1,Torgersen Hall,door,main
MX9-1,2,Torgersen Hall,door,main
MX9-1,3,Torgersen Hall,door,main
MX9-1,4,Torgersen Hall,door,main
MX9-1,5,Torgersen Hall,door,main
MX9-1,6,Torgersen Hall,door,main
MX9-1,7,Torgersen Hall,door,main
MX9-1,8,Torgersen Hall,door,main
MX9-1,9,Torgersen Hall,door,main
MX9-1,10,Torgersen Hall,door,main
MX9-1,11,Torgersen Hall,door,main
MX9-1,12,Torgersen Hall,door,main
MX9-1,13,Torgersen Hall,door,main
MX9-1,14,Torgersen Hall,door,main
MX9-1,15,Torgersen Hall,door,main
MX9-1,16,Torgersen Hall,door,main
MX9-1,17,Torgersen Hall,door,main
MX9-1,18,Torgersen Hall,door,main
MX9-1,19,Torgersen Hall,door,main
MX9-1,20,Torgersen Hall,door,main
X9B,1,Torgersen Hall,door,3000master
X9B,2,Torgersen Hall,door,3000master
X9B,3,Torgersen Hall,door,3000master
X9B,4,Torgersen Hall,door,3000master
X9B,5,Torgersen Hall,door,3000master
X9B,6,Torgersen Hall,door,3000master
X9S-1,6,Torgersen Hall,door,2040corridor
X9S-1,7,Torgersen Hall,door,2040corridor
X9S-1,8,Torgersen Hall,door,2040corridor
X9S-29,1,Torgersen Hall,door,2040F
X9S-29,2,Torgersen Hall,door,2040F
X9S-29,3,Torgersen Hall,door,2040F
X9S-28,1,Torgersen Hall,door,2040G
X9S-28,2,Torgersen Hall,door,2040G
X9S-28,3,Torgersen Hall,door,2040G
X9B-24,1,Torgersen Hall,door,2045
X9B-24,2,Torgersen Hall,door,2045
X9B-24,3,Torgersen Hall,door,2045
X9B-24,4,Torgersen Hall,door,2045
X9B-24,5,Torgersen Hall,door,2045
X9B-24,6,Torgersen Hall,door,2045
X9B-24,7,Torgersen Hall,door,2045
X9B-24,8,Torgersen Hall,door,2045
X9B-24,9,Torgersen Hall,door,2045
X9B-24,10,Torgersen Hall,door,2045
X9B-24,11,Torgersen Hall,door,2045
X9B-24,12,Torgersen Hall,door,2045
MX9-87,1,Torgersen Hall,door,2080
MX9-87,2,Torgersen Hall,door,2080
MX9-87,3,Torgersen Hall,door,2080
MX9-87,4,Torgersen Hall,door,2080
MX9-87,5,Torgersen Hall,door,2080
X9B-7,1,Torgersen Hall,door,3000/3046
X9B-7,2,Torgersen Hall,door,3000/3046
X9B-7,1,Torgersen Hall,door,3000/3046
X9B-7,2,Torgersen Hall,door,3000/3046
X9B-7,3,Torgersen Hall,door,3000/3046
X9B-7,4,Torgersen Hall,door,3000/3046
X9B-7,5,Torgersen Hall,door,3000/3046
X9B-7,6,Torgersen Hall,door,3000/3046
X9B-7,7,Torgersen Hall,door,3000/3046
X9B-7,8,Torgersen Hall,door,3000/3046
X9B-7,9,Torgersen Hall,door,3000/3046
X9B-7,10,Torgersen Hall,door,3000/3046
X9B-7,11,Torgersen Hall,door,3000/3046
X9B-7,12,Torgersen Hall,door,3000/3046
X9B-7,13,Torgersen Hall,door,3000/3046
X9B-7,14,Torgersen Hall,door,3000/3046
X9B-7,15,Torgersen Hall,door,3000/3046
X9B-7,16,Torgersen Hall,door,3000/3046
X9B-7,17,Torgersen Hall,door,3000/3046
X9B-7,18,Torgersen Hall,door,3000/3046
X9B-7,19,Torgersen Hall,door,3000/3046
X9B-7,20,Torgersen Hall,door,3000/3046
X9B-7,21,Torgersen Hall,door,3000/3046
X9B-7,22,Torgersen Hall,door,3000/3046
